CheckList ID: 1
Titel: Тестирование почтового ящика на mail.ru
№	Actions (Steps)	Response	Status
1	Зайти на сайт mail.ru	Откроется главная страница mail.ru	 
2	Кликнуть в правом верхнем углу на "регистрация"	Откроется страница "Регистрация нового почтового ящика"	 
3	Ввести данные для регистрации почтового ящика: имя - "Иван", фамилия - "Иванов", почтовый ящик - "Ivanov1312@mail.ua" пароль - "9944ivan45" и кликнуть "зарегистрироваться"	Откроется страница нового почтового ящика с названием "Ivanov1312@mail.ua"	 
4	Открыть в папке "Входящие" письмо "Добро пожаловать"	Письмо открылось и читается корректно.	 
5	Удалить данное письмо.	Письмо удалено из папки "Входящие".	 
6	Проверить папку "Корзина"	В папке "Корзина" есть удаленное письмо.	 
7	Кликнуть очистить папку.	Папка "Корзина" пуста.	 
8	Кликнуть кнопку "Написать письмо"	Откроется страница с новым письмом.	 
9	В поле для письма ввести произвольный текст и отформатировать его.	Текст вводится коррекно и форматируется.	 
10	Кликнуть кнопку "Прикрепить файл"	Откроется окно с списком файлов для прикрепления.	 
11	Выбрать по одному файлу "docx" и "JPG"	На странице нового письма отобразятся прикрепленные файлы.	 
12	В поле "Кому" ввести другой e-mail для последующей проверки отправленого письма и кликнуть отправить. 	На странице отобразится сообщение "Ваше письмо отправлено"	 
13	Открыть папку "Отправленные"	Отображается отправленное письмо.	 
14	Открыть это письмо	Отображается текст отправленного письма и два прикрепленных файла.	 
15	Открыть прикрепленные файлы	Отображается содержание прикрепленных файлов	 
16	Кликнуть "Выход"	Откроется главная страница mail.ru	 
17	Повторно войти на почту: "Ivanov1312@mail.ua"; пароль "9944ivan45"	Откроется папка "Входящие" почтового ящика пользователя "Ivanov1312''	 
18	Кликнуть на вкладку "Настройки" и проверить корректность личных данных.	Личные данные отображаются корректно	 
19	Кликнуть "Выход"	Откроется главная страница mail.ru	 
20	С помощью дополнительного почтового ящика проверить отправленное ранее письмо.	Письмо присутсвует на дополнительном почтовом ящике, открывается, читается, прикрепленные файлы присутсвуют и открываются
